etag,id,snippet
yf1KDVpcfeSORk0I0qNt0IV_Uxg,"{'kind': 'youtube#video', 'videoId': 'Qeds8rZ1SkI'}","{'publishedAt': '2022-07-31T08:53:56Z', 'channelId': 'UCAzBp0a-RXzpVqU79Xdwpsw', 'title': '장윤정노래 모음 베스트20곡 하루종일듣고싶은노래 비올때듣는노래', 'description': '장윤정노래모음#트로트노래모음#감성트로트모음 광고및 수익이 발생할 경우 100% 모두 저작권자에게 돌아갑니다. ✓ 구독과 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Qeds8rZ1SkI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Qeds8rZ1SkI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Qeds8rZ1SkI/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '망고뮤직', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-31T08:53:56Z'}"
JbGYn9wb0nq-9pMeKVJ5H7xnZnQ,"{'kind': 'youtube#playlist', 'playlistId': 'PLtoEq99qhHP3IkVpi5IIx-JcgBY-CPxud'}","{'publishedAt': '2022-07-26T00:56:18Z', 'channelId': 'UC_5yYDIVMcFlC2w5QLur70w', 'title': '[일플리 7월] 장마기간, 비올때 듣기 좋은 노래', 'description': '일상건강 매거진이 추천하는 7월의 추천 플레이리스트. 장마기간 비올때 듣기 좋은 노래.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/kTVvtlfU-Ts/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kTVvtlfU-Ts/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kTVvtlfU-Ts/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '한독 - The Health Innovator', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-26T00:56:18Z'}"
7Q1_FgAjtAnzm8iMMkLULfnRrzg,"{'kind': 'youtube#playlist', 'playlistId': 'PLen3zM27YYVtrb7pG4aYNNR_MfS7Rp1ph'}","{'publishedAt': '2022-07-25T10:59:02Z', 'channelId': 'UC4bLty2f8qJyGhAZhPo34ZA', 'title': '비올 때 감성곡', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/s-gCSvGvnE0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/s-gCSvGvnE0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/s-gCSvGvnE0/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'ST K', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-25T10:59:02Z'}"
K5tLCET5nQQQQeR0DCkY46G4-Sc,"{'kind': 'youtube#video', 'videoId': 'zVZYQTpVXyc'}","{'publishedAt': '2022-07-24T09:14:28Z', 'channelId': 'UCqH5yrrcQGILGvFUwrYKyCw', 'title': 'ASMR[3시간] ☔빗소리 + 🎹피아노곡(1시간)_비올때 들으면 좋은 힐링되는 피아노곡', 'description': '빗소리가 좋아서 피아노 곡을 넣어 만들어 보았어요~ 분위기 좋은 카페나 집에서 창밖을 바라보며 듣는 빗소리와 피아노 곡   차 한잔 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/zVZYQTpVXyc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zVZYQTpVXyc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zVZYQTpVXyc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Slow M_Luna', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-24T09:14:28Z'}"
LK0x7F00orlgektdFBOJyNTeeQg,"{'kind': 'youtube#video', 'videoId': '8fet0DSoYdU'}","{'publishedAt': '2022-07-21T20:17:02Z', 'channelId': 'UCl0RHnfRpeFCCpCWEOle3QQ', 'title': '비올때 듣기좋은 애절한 트로트 모음 - 밤업소 최고의 트로트 가요 모음 - 묻지마 트로트 메들리 모음 - 트로트 모음 100곡', 'description': '비올때 듣기좋은 애절한 트로트 모음 - 밤업소 최고의 트로트 가요 모음 - 묻지마 트로트 메들리 모음 - 트로트 모음 100곡 Tag: 홍진영, ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/8fet0DSoYdU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8fet0DSoYdU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8fet0DSoYdU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Thaddeus Jovan', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-21T20:17:02Z'}"
_cFR_xbROYBcPDv9tvrJORqQ9Co,"{'kind': 'youtube#video', 'videoId': 'zcQESASo3Io'}","{'publishedAt': '2022-07-21T14:52:08Z', 'channelId': 'UCxOEQUwCCtKX_acqUdQLnNg', 'title': '◈ ◈ 비올때 듣기 좋은 노래 모음 [전곡가사첨부] ◈ ◈  | ep.18', 'description': '비올때 듣기 좋은 노래 모음 [전곡가사첨부] ◈ ◈ https://youtu.be/zW7BpgjJubA 01. 윤정하 - 찬비 02. 채은옥 - 빗물 03. 햇빛촌 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/zcQESASo3Io/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zcQESASo3Io/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zcQESASo3Io/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Imler Duncan', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-21T14:52:08Z'}"
3H457q4aPRWmca_KhYEMA5HxCWY,"{'kind': 'youtube#video', 'videoId': 'iwBCYr5ZM7s'}","{'publishedAt': '2022-07-19T01:37:56Z', 'channelId': 'UCd1fHZfMHiRuvrNcW6lWCrQ', 'title': 'Shorts@비올때듣기좋은노래@빗길데이트@장맛비🍺', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/iwBCYr5ZM7s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iwBCYr5ZM7s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iwBCYr5ZM7s/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '선혜(최고의노래맛집)', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-19T01:37:56Z'}"
4GCUAX5RlgR4qL9Xs3Q9LMEGWRM,"{'kind': 'youtube#video', 'videoId': 'xTLlgogUd1I'}","{'publishedAt': '2022-07-18T03:01:13Z', 'channelId': 'UCthQVWhwe_NyGze1G-FGorw', 'title': '◈ ◈ 비올때 듣기 좋은 노래 모음 [전곡가사첨부] ◈ ◈  | ep.18', 'description': '비올때 듣기 좋은 노래 모음 [전곡가사첨부] ◈ ◈ https://youtu.be/zW7BpgjJubA 01. 윤정하 - 찬비 02. 채은옥 - 빗물 03. 햇빛촌 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/xTLlgogUd1I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xTLlgogUd1I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xTLlgogUd1I/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Kesinger Dickens', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-18T03:01:13Z'}"
gmrrcgjN_XLT5abQAVKtQEiXjkc,"{'kind': 'youtube#playlist', 'playlistId': 'PLDIsamxAWLbs8jMBpF7Psjjiqqk67XBSn'}","{'publishedAt': '2022-07-16T01:31:51Z', 'channelId': 'UC7m54azDf_uLl-DFoeP5YWw', 'title': '비올때듣기좋은노래', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/EQzqq0LNlto/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EQzqq0LNlto/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EQzqq0LNlto/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '롸롸티비', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-16T01:31:51Z'}"
qrlI0gjQefWmzJU3_HIVDG0uaXY,"{'kind': 'youtube#video', 'videoId': 'UyUfv3z6V3w'}","{'publishedAt': '2022-07-14T04:55:57Z', 'channelId': 'UCBt7xUyDnYGKwIvwL3CiYMw', 'title': '비올때 듣기 좋은 감성 발라드 6곡 모음', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/UyUfv3z6V3w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UyUfv3z6V3w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UyUfv3z6V3w/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'ʕ•̫͡•ʔ얼음장미ʕ•̫͡•ʔ', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-14T04:55:57Z'}"
