 format: day,hour,value location:60_127 Start : 20220801 
 9, 0600, 191.000000 
 9, 0700, 175.000000 
 9, 0800, 239.000000 
 9, 0900, 191.000000 
 9, 1000, 211.000000 
 9, 1100, 255.000000 
 9, 1200, 234.000000 
 9, 1300, 290.000000 
 9, 1400, 269.000000 
 9, 1500, 279.000000 
 9, 1600, 285.000000 
 9, 1700, 260.000000 
 9, 1800, 312.000000 
 9, 1900, 259.000000 
 9, 2000, 278.000000 
 9, 2100, 275.000000 
 9, 2200, 165.000000 
 9, 2300, 224.000000 
 10, 0000, 261.000000 
 10, 0100, 183.000000 
 10, 0200, 166.000000 
 10, 0300, 206.000000 
 10, 0400, 202.000000 
 10, 0500, 190.000000 
 10, 0600, 188.000000 
 10, 0700, 209.000000 
 10, 0800, 193.000000 
 10, 0900, 253.000000 
 10, 1000, 294.000000 
 10, 1100, 157.000000 
 10, 1200, 143.000000 
 10, 1300, 167.000000 
 10, 1400, 287.000000 
 10, 1500, 315.000000 
 10, 1600, 294.000000 
 10, 1700, 44.000000 
 10, 1800, 322.000000 
 10, 1900, 21.000000 
 10, 2000, 69.000000 
 10, 2100, 271.000000 
 10, 2200, 274.000000 
 10, 2300, 213.000000 
 11, 0000, 242.000000 
 11, 0100, 248.000000 
 11, 0200, 224.000000 
 11, 0300, 253.000000 
 11, 0400, 205.000000 
 11, 0500, 200.000000 
 11, 0600, 247.000000 
 11, 0700, 250.000000 
 11, 0800, 265.000000 
 11, 0900, 247.000000 
 11, 1000, 257.000000 
 11, 1100, 273.000000 
 11, 1200, 259.000000 
 11, 1300, 267.000000 
 11, 1400, 233.000000 
 11, 1500, 268.000000 
 11, 1600, 248.000000 
 11, 1700, 204.000000 
 11, 1800, 210.000000 
 11, 1900, 255.000000 
 11, 2000, 295.000000 
 11, 2100, 33.000000 
 11, 2200, 33.000000 
 11, 2300, 183.000000 
 12, 0000, 226.000000 
 12, 0100, 281.000000 
 12, 0200, 258.000000 
 12, 0300, 297.000000 
 12, 0400, 301.000000 
 12, 0500, 276.000000 
 12, 0600, 260.000000 
 12, 0700, 245.000000 
 12, 0800, 260.000000 
 12, 0900, 253.000000 
 12, 1000, 263.000000 
 12, 1100, 273.000000 
 12, 1200, 85.000000 
 12, 1300, 24.000000 
 12, 1400, 49.000000 
 12, 1500, 299.000000 
 12, 1600, 335.000000 
 12, 1700, 259.000000 
 12, 1800, 335.000000 
 12, 1900, 333.000000 
 12, 2000, 325.000000 
 12, 2100, 220.000000 
 12, 2200, 96.000000 
 12, 2300, 137.000000 
 13, 0000, 223.000000 
 13, 0100, 14.000000 
 13, 0200, 112.000000 
 13, 0300, 25.000000 
 13, 0400, 103.000000 
 13, 0500, 108.000000 
 13, 0600, 46.000000 
 13, 0700, 81.000000 
 13, 0800, 158.000000 
 13, 0900, 231.000000 
 13, 1000, 192.000000 
 13, 1100, 221.000000 
 13, 1200, 191.000000 
 13, 1300, 256.000000 
 13, 1400, 330.000000 
 13, 1500, 25.000000 
 13, 1600, 23.000000 
 13, 1700, 346.000000 
 13, 1800, 34.000000 
 13, 1900, 40.000000 
 13, 2000, 43.000000 
 13, 2100, 34.000000 
 13, 2200, 45.000000 
 13, 2300, 40.000000 
 14, 0000, 45.000000 
 14, 0100, 80.000000 
 14, 0200, 115.000000 
 14, 0300, 200.000000 
 14, 0400, 216.000000 
 14, 0500, 262.000000 
 14, 0600, 261.000000 
 14, 0700, 270.000000 
 14, 0800, 280.000000 
 14, 0900, 198.000000 
 14, 1000, 170.000000 
 14, 1100, 173.000000 
 14, 1200, 165.000000 
 14, 1300, 173.000000 
 14, 1400, 186.000000 
 14, 1500, 194.000000 
 14, 1600, 192.000000 
 14, 1700, 187.000000 
 14, 1800, 193.000000 
 14, 1900, 197.000000 
 14, 2000, 201.000000 
 14, 2100, 194.000000 
 14, 2200, 198.000000 
 14, 2300, 194.000000 
 15, 0000, 198.000000 
 15, 0100, 200.000000 
 15, 0200, 187.000000 
 15, 0300, 193.000000 
 15, 0400, 188.000000 
 15, 0500, 195.000000 
 15, 0600, 188.000000 
 15, 0700, 201.000000 
 15, 0800, 203.000000 
 15, 0900, 217.000000 
 15, 1000, 217.000000 
 15, 1100, 227.000000 
 15, 1200, 239.000000 
 15, 1300, 254.000000 
 15, 1400, 259.000000 
 15, 1500, 247.000000 
 15, 1600, 258.000000 
 15, 1700, 260.000000 
 15, 1800, 270.000000 
 15, 1900, 255.000000 
 15, 2000, 245.000000 
 15, 2100, 242.000000 
 15, 2200, 270.000000 
 15, 2300, 258.000000 
 16, 0000, 266.000000 
 16, 0100, 290.000000 
 16, 0200, 242.000000 
 16, 0300, 283.000000 
 16, 0400, 267.000000 
 16, 0500, 271.000000 
 16, 0600, 274.000000 
 16, 0700, 282.000000 
 16, 0800, 277.000000 
 16, 0900, 272.000000 
 16, 1000, 263.000000 
 16, 1100, 287.000000 
 16, 1200, 280.000000 
 16, 1300, 263.000000 
 16, 1400, 296.000000 
 16, 1500, 0.000000 
 16, 1600, 37.000000 
 16, 1700, 52.000000 
 16, 1800, 32.000000 
 16, 1900, 21.000000 
 16, 2000, 39.000000 
 16, 2100, 45.000000 
 16, 2200, 10.000000 
 16, 2300, 310.000000 
 17, 0000, 262.000000 
 17, 0100, 102.000000 
 17, 0200, 65.000000 
 17, 0300, 113.000000 
 17, 0400, 177.000000 
 17, 0500, 282.000000 
 17, 0600, 282.000000 
 17, 0700, 277.000000 
 17, 0800, 270.000000 
 17, 0900, 265.000000 
 17, 1000, 51.000000 
 17, 1100, 36.000000 
 17, 1200, 47.000000 
 17, 1300, 45.000000 
 17, 1400, 28.000000 
 17, 1500, 37.000000 
 17, 1600, 34.000000 
 17, 1700, 34.000000 
 17, 1800, 40.000000 
 17, 1900, 37.000000 
 17, 2000, 31.000000 
 17, 2100, 34.000000 
 17, 2200, 68.000000 
 17, 2300, 202.000000 
 18, 0000, 289.000000 
 18, 0100, 110.000000 
 18, 0200, 274.000000 
 18, 0300, 202.000000 
 18, 0400, 205.000000 
 18, 0500, 257.000000 
 18, 0600, 269.000000 
 18, 0700, 271.000000 
 18, 0800, 272.000000 
 18, 0900, 285.000000 
 18, 1000, 280.000000 
 18, 1100, 278.000000 
 18, 1200, 277.000000 
 18, 1300, 321.000000 
 18, 1400, 277.000000 
 18, 1500, 331.000000 
 18, 1600, 271.000000 
 18, 1700, 55.000000 
 18, 1800, 83.000000 
 18, 1900, 113.000000 
 18, 2000, 99.000000 
 18, 2100, 100.000000 
 18, 2200, 147.000000 
 18, 2300, 154.000000 
 19, 0000, -1.000000 
 19, 0100, 185.000000 
 19, 0200, 184.000000 
 19, 0300, 130.000000 
 19, 0400, 152.000000 
 19, 0500, 161.000000 
 19, 0600, 259.000000 
 19, 0700, 239.000000 
 19, 0800, 226.000000 
 19, 0900, 205.000000 
 19, 1000, 209.000000 
 19, 1100, 220.000000 
 19, 1200, 233.000000 
 19, 1300, 224.000000 
 19, 1400, 266.000000 
 19, 1500, 260.000000 
 19, 1600, 288.000000 
 19, 1700, 235.000000 
 19, 1800, 249.000000 
 19, 1900, 233.000000 
 19, 2000, 264.000000 
 19, 2100, 277.000000 
 19, 2200, 289.000000 
 19, 2300, 281.000000 
 20, 0000, 248.000000 
 20, 0100, 197.000000 
 20, 0200, 242.000000 
 20, 0300, 250.000000 
 20, 0400, 278.000000 
 20, 0500, 279.000000 
 20, 0600, 284.000000 
 20, 0700, 287.000000 
 20, 0800, 268.000000 
 20, 0900, 257.000000 
 20, 1000, 275.000000 
 20, 1100, 222.000000 
 20, 1200, 240.000000 
 20, 1300, 257.000000 
 20, 1400, 295.000000 
 20, 1500, 43.000000 
 20, 1600, 244.000000 
 20, 1700, 60.000000 
 20, 1800, 44.000000 
 20, 1900, 63.000000 
 20, 2000, 46.000000 
 20, 2100, 45.000000 
 20, 2200, 51.000000 
 20, 2300, 73.000000 
 21, 0000, 125.000000 
 21, 0100, 121.000000 
 21, 0200, 136.000000 
 21, 0300, 46.000000 
 21, 0400, 79.000000 
 21, 0500, 279.000000 
 21, 0600, 249.000000 
 21, 0700, 267.000000 
 21, 0800, 274.000000 
 21, 0900, 277.000000 
 21, 1000, 269.000000 
 21, 1100, 263.000000 
 21, 1200, 205.000000 
 21, 1300, 293.000000 
 21, 1400, 281.000000 
 21, 1500, 265.000000 
 21, 1600, 255.000000 
 21, 1700, 255.000000 
 21, 1800, 250.000000 
 21, 1900, 263.000000 
 21, 2000, 183.000000 
 21, 2100, 201.000000 
 21, 2200, 184.000000 
 21, 2300, 229.000000 
 22, 0000, 202.000000 
 22, 0100, 202.000000 
 22, 0200, 218.000000 
 22, 0300, 204.000000 
 22, 0400, 193.000000 
 22, 0500, 235.000000 
 22, 0600, 258.000000 
 22, 0700, 248.000000 
 22, 0800, 240.000000 
 22, 0900, 256.000000 
 22, 1000, 243.000000 
 22, 1100, 254.000000 
 22, 1200, 319.000000 
 22, 1300, 37.000000 
 22, 1400, 8.000000 
 22, 1500, 2.000000 
 22, 1600, 20.000000 
 22, 1700, 37.000000 
 22, 1800, 354.000000 
 22, 1900, 46.000000 
 22, 2000, 43.000000 
 22, 2100, 34.000000 
 22, 2200, 71.000000 
 22, 2300, 25.000000 
 23, 0000, 359.000000 
 23, 0100, 299.000000 
 23, 0200, 277.000000 
 23, 0300, 1.000000 
 23, 0400, 299.000000 
 23, 0500, 81.000000 
 23, 0600, 267.000000 
 23, 0700, 279.000000 
 23, 0800, 324.000000 
 23, 0900, 323.000000 
 23, 1000, 320.000000 
 23, 1100, 314.000000 
 23, 1200, 259.000000 
 23, 1300, 25.000000 
 23, 1400, 17.000000 
 23, 1500, 50.000000 
 23, 1600, 55.000000 
 23, 1700, 48.000000 
 23, 1800, 50.000000 
 23, 1900, 49.000000 
 23, 2000, 55.000000 
 23, 2100, 52.000000 
 23, 2200, 50.000000 
 23, 2300, 60.000000 
 24, 0000, 67.000000 
 24, 0100, 68.000000 
 24, 0200, 96.000000 
 24, 0300, 66.000000 
 24, 0400, 71.000000 
 24, 0500, 61.000000 
 24, 0600, 117.000000 
 24, 0700, 94.000000 
 24, 0800, 121.000000 
 24, 0900, 117.000000 
 24, 1000, 108.000000 
 24, 1100, 126.000000 
 24, 1200, 115.000000 
 24, 1300, 152.000000 
 24, 1400, 125.000000 
 24, 1500, 109.000000 
 24, 1600, 91.000000 
 24, 1700, 59.000000 
 24, 1800, 37.000000 
 24, 1900, 28.000000 
 24, 2000, 33.000000 
 24, 2100, 43.000000 
 24, 2200, 34.000000 
 24, 2300, 102.000000 
 25, 0000, 155.000000 
 25, 0100, 352.000000 
 25, 0200, 207.000000 
 25, 0300, 232.000000 
 25, 0400, 251.000000 
 25, 0500, 251.000000 
 25, 0600, 258.000000 
 25, 0700, 268.000000 
 25, 0800, 258.000000 
 25, 0900, 263.000000 
 25, 1000, 264.000000 
 25, 1100, 250.000000 
 25, 1200, 292.000000 
 25, 1300, 259.000000 
 25, 1400, 276.000000 
 25, 1500, 253.000000 
 25, 1600, 256.000000 
 25, 1700, 356.000000 
 25, 1800, 273.000000 
 25, 1900, 306.000000 
 25, 2000, 348.000000 
 25, 2100, 30.000000 
 25, 2200, 37.000000 
 25, 2300, 305.000000 
 26, 0000, 223.000000 
 26, 0100, 313.000000 
 26, 0200, 274.000000 
 26, 0300, 255.000000 
 26, 0400, 261.000000 
 26, 0500, 260.000000 
 26, 0600, 242.000000 
 26, 0700, 268.000000 
 26, 0800, 268.000000 
 26, 0900, 284.000000 
 26, 1000, 260.000000 
 26, 1100, 260.000000 
 26, 1200, 256.000000 
 26, 1300, 269.000000 
 26, 1400, 245.000000 
 26, 1500, 257.000000 
 26, 1600, 209.000000 
 26, 1700, 306.000000 
 26, 1800, 308.000000 
 26, 1900, 223.000000 
 26, 2000, 271.000000 
 26, 2100, 317.000000 
 26, 2200, 317.000000 
 26, 2300, 285.000000 
 27, 0000, 315.000000 
 27, 0100, 306.000000 
 27, 0200, 298.000000 
 27, 0300, 290.000000 
 27, 0400, 300.000000 
 27, 0500, 293.000000 
 27, 0600, 307.000000 
 27, 0700, 258.000000 
 27, 0800, 280.000000 
 27, 0900, 287.000000 
 27, 1000, 336.000000 
 27, 1100, 315.000000 
 27, 1200, 320.000000 
 27, 1300, 318.000000 
 27, 1400, 290.000000 
 27, 1500, 279.000000 
 27, 1600, 23.000000 
 27, 1700, 52.000000 
 27, 1800, 33.000000 
 27, 1900, 33.000000 
 27, 2000, 26.000000 
 27, 2100, 38.000000 
 27, 2200, 62.000000 
 27, 2300, 63.000000 
 28, 0000, 41.000000 
 28, 0100, 63.000000 
 28, 0200, 94.000000 
 28, 0300, 100.000000 
 28, 0400, 104.000000 
 28, 0500, 199.000000 
 28, 0600, 28.000000 
 28, 0700, 82.000000 
 28, 0800, 96.000000 
 28, 0900, 327.000000 
 28, 1000, 275.000000 
 28, 1100, 263.000000 
 28, 1200, 266.000000 
 28, 1300, 297.000000 
 28, 1400, 40.000000 
 28, 1500, 53.000000 
 28, 1600, 100.000000 
 28, 1700, 96.000000 
 28, 1800, 75.000000 
 28, 1900, 48.000000 
 28, 2000, 49.000000 
 28, 2100, 54.000000 
 28, 2200, 44.000000 
 28, 2300, 42.000000 
 29, 0000, 50.000000 
 29, 0100, 62.000000 
 29, 0200, 61.000000 
 29, 0300, 77.000000 
 29, 0400, 72.000000 
 29, 0500, 112.000000 
 29, 0600, 97.000000 
 29, 0700, 114.000000 
 29, 0800, 121.000000 
 29, 0900, 94.000000 
 29, 1000, 101.000000 
 29, 1100, 57.000000 
 29, 1200, 49.000000 
 29, 1300, 57.000000 
 29, 1400, 50.000000 
 29, 1500, 99.000000 
 29, 1600, 122.000000 
 29, 1700, 50.000000 
 29, 1800, 49.000000 
 29, 1900, 58.000000 
 29, 2000, 55.000000 
 29, 2100, 52.000000 
 29, 2200, 48.000000 
 29, 2300, 55.000000 
 30, 0000, 47.000000 
 30, 0100, 56.000000 
 30, 0200, 51.000000 
 30, 0300, 52.000000 
 30, 0400, 55.000000 
 30, 0500, 57.000000 
 30, 0600, 46.000000 
 30, 0700, 53.000000 
 30, 0800, 324.000000 
 30, 0900, 46.000000 
 30, 1000, 56.000000 
 30, 1100, 71.000000 
 30, 1200, 57.000000 
 30, 1300, 337.000000 
 30, 1400, 51.000000 
 30, 1500, 57.000000 
 30, 1600, 41.000000 
 30, 1700, 272.000000 
 30, 1800, 272.000000 
 30, 1900, 252.000000 
 30, 2000, 272.000000 
 30, 2100, 325.000000 
 30, 2200, 264.000000 
 30, 2300, 279.000000 
 31, 0000, 60.000000 
 31, 0100, 53.000000 
 31, 0200, 32.000000 
 31, 0300, 98.000000 
 31, 0400, 33.000000 
 31, 0500, 43.000000 
 31, 0600, 43.000000 
 31, 0700, 35.000000 
 31, 0800, 47.000000 
 31, 0900, 352.000000 
 31, 1000, 7.000000 
 31, 1100, 13.000000 
 31, 1200, 4.000000 
 31, 1300, 355.000000 
 31, 1400, 23.000000 
 31, 1500, 25.000000 
 31, 1600, 20.000000 
 31, 1700, 29.000000 
 31, 1800, 33.000000 
 31, 1900, 4.000000 
 31, 2000, 25.000000 
 31, 2100, 47.000000 
 31, 2200, 42.000000 
 31, 2300, 54.000000 
 
